 Countries (2010) ,PERSONAL FREEDOM,ECONOMIC FREEDOM,HUMAN FREEDOM INDEX,GDP PER CAPITA,PPP (constant 2017 international $
 Albania ,7.52,7.29,7.4,10749.48745,
 Algeria ,4.84,5.21,5.02,10970.70637,
 Angola ,4.61,5.37,4.99,7692.434286,
 Argentina ,8.33,5.88,7.11,23521.27018,
 Armenia ,7.3,7.54,7.42,9286.197327,
 Australia ,9.32,7.94,8.63,44991.78371,
 Austria ,9.19,7.54,8.36,51769.14556,
 Azerbaijan ,6.32,6.01,6.17,14312.75612,
 Bahamas ,7.66,7.46,7.56,36504.40705,
 Bahrain ,6.11,7.75,6.93,44599.80497,
 Bangladesh ,5.46,6.43,5.94,2883.466794,
 Barbados ,7.83,6.83,7.33,15596.61681,
 Belgium ,9.24,7.34,8.29,47971.63031,
 Belize ,7.24,6.47,6.86,7294.684143,
 Benin ,6.52,6.13,6.33,2704.705484,
 Bolivia ,7.29,6.42,6.85,6612.803357,
 Bosnia Herzegovina ,8.18,6.66,7.42,10938.28505,
 Botswana ,6.56,7.03,6.79,14126.38227,
 Brazil ,7.81,6.53,7.17,14873.20832,
 Brunei ,6.1,7.17,6.64,67753.42177,
 Bulgaria ,8.57,7.32,7.94,17440.67188,
 Burkina Faso ,7.17,5.93,6.55,1716.358323,
 Burundi ,5.91,5.26,5.58,846.1691368,
 Cambodia ,7.28,7.15,7.21,2716.699738,
 Cameroon ,5.53,6.31,5.92,3086.221474,
 Canada ,9.29,7.94,8.62,44861.52396,
 Cape Verde ,8.41,6.39,7.4,6200.343537,
 Central African Republic ,5.73,5.21,5.47,1201.352197,
 Chad ,5.73,5.55,5.64,1732.691584,
 Chile ,8.33,7.91,8.12,21262.46699,
 China ,4.91,6.26,5.59,8884.588031,
 Colombia ,6.9,6.53,6.72,11783.29991,
" Congo, Democratic Republic of ",5.59,5.46,5.52,16830.43618,
 Costa Rica ,7.9,7.31,7.61,3660.903847,
 Cote d'Ivoire ,5.65,5.89,5.77,24280.60269,
 Croatia ,8.2,6.68,7.44,38379.0904,
 Cyprus ,9.05,7.69,8.37,33483.13759,
 Czech Republic ,9.19,7.19,8.19,865.6840402,
 Denmark ,9.58,7.7,8.64,50825.41229,
 Dominican Republic ,6.76,7.17,6.97,12782.45717,
 East Timor ,7.7,5.44,6.57,2930.054491,
 Ecuador ,7.38,5.83,6.61,10340.9703,
 Egypt ,5.11,6.51,5.81,10340.07323,
 El Salvador ,7.16,7.21,7.19,7328.71991,
 Estonia ,9.14,7.75,8.45,26133.38181,
 Ethiopia ,5.12,5.68,5.4,1259.022581,
 Fiji ,7.67,7.02,7.34,10547.9304,
 Finland ,9.57,7.72,8.64,45874.6613,
 France ,8.88,7.38,8.13,42147.67168,
 Gabon ,5.99,5.85,5.92,14415.44591,
" Gambia, The ",5.02,7.27,6.15,2346.720479,
 Georgia ,7.97,7.48,7.73,9736.732094,
 Germany ,9.17,7.5,8.34,46929.99341,
 Ghana ,7.42,6.55,6.99,3729.475903,
 Greece ,8.62,6.8,7.71,33753.61775,
 Guatemala ,7.08,7.31,7.2,7335.988974,
 Guinea-Bissau ,6.18,5.45,5.81,1747.237485,
 Guyana ,6.93,6.25,6.59,9789.0167,
 Haiti ,6.66,6.5,6.58,2735.283617,
 Honduras ,6.25,7.26,6.76,4866.973931,
 Hong Kong ,8.9,8.96,8.93,51360.96698,
 Hungary ,8.92,7.28,8.1,24427.62873,
 Iceland ,9.36,6.43,7.89,47457.62292,
 India ,6.71,6.41,6.56,4234.979573,
 Indonesia ,6.96,6.89,6.92,8286.73287,
 Iran ,4.12,6.16,5.14,13805.70382,
 Ireland ,9.33,7.59,8.46,53725.0336,
 Israel ,8.48,7.3,7.89,34800.24747,
 Italy ,9,7.15,8.08,42664.35527,
 Jamaica ,7.18,7,7.09,9435.760842,
 Japan ,8.61,7.53,8.07,37586.16715,
 Jordan ,5.53,7.77,6.65,11315.5027,
 Kazakhstan ,6.79,6.96,6.87,20751.25724,
 Kenya ,6.6,7.03,6.81,3329.853752,
" Korea, Republic of ",8.89,7.47,8.18,34394.49049,
 Kuwait ,6.01,7.26,6.64,58810.40487,
 Kyrgyz Republic ,6.18,6.63,6.4,4141.077206,
 Latvia ,8.74,7.14,7.94,21023.90133,
 Lebanon ,6.3,7.34,6.82,19499.1728,
 Lesotho ,5.43,6.18,5.81,2346.713297,
 Lithuania ,8.74,7.55,8.15,23942.76036,
 Luxembourg ,9.35,7.46,8.4,107703.4539,
 Macedonia ,8.17,6.89,7.53,13412.31283,
 Madagascar ,6.46,6.43,6.45,1553.404722,
 Malawi ,7.05,6.26,6.66,1350.59917,
 Malaysia ,5.94,7.01,6.48,20536.37251,
 Mali ,6.84,5.97,6.41,2082.961935,
 Malta ,9.28,7.56,8.42,32867.94003,
 Mauritania ,5.59,5.44,5.52,4767.377366,
 Mauritius ,8.41,7.93,8.17,16797.81724,
 Mexico ,6.83,6.71,6.77,17790.01192,
 Moldova ,7.21,6.61,6.91,8550.170639,
 Mongolia ,7.28,6.93,7.11,7479.780902,
 Montenegro ,8.33,7.33,7.83,16764.36237,
 Morocco ,5.8,6.5,6.15,6281.464191,
 Mozambique ,5.99,5.55,5.77,1027.208877,
 Myanmar ,4.86,4.18,4.52,3129.920255,
 Namibia ,7.13,6.65,6.89,9031.160594,
 Nepal ,7.53,6.29,6.91,2703.414917,
 Netherlands ,9.36,7.4,8.38,52032.9865,
 New Zealand ,9.45,8.08,8.76,37657.1432,
 Nicaragua ,7.22,7.26,7.24,4611.785692,
 Niger ,7.13,6.02,6.58,1036.904305,
 Nigeria ,5.46,6.17,5.82,4932.3348,
 Norway ,9.61,7.46,8.53,61353.49639,
 Oman ,4.9,7.29,6.1,33864.98374,
 Pakistan ,4.48,6.29,5.38,3906.873971,
 Panama ,7.48,7.21,7.34,21343.30499,
 Papua New Guinea ,7.3,6.94,7.12,3406.64404,
 Paraguay ,7.11,6.75,6.93,10415.65644,
 Peru ,7.33,7.6,7.47,10066.46757,
 Philippines ,7.37,7.16,7.26,5918.373229,
 Poland ,8.98,7.1,8.04,23996.13978,
 Portugal ,9.05,6.96,8.01,31798.15381,
 Qatar ,4.38,7.58,5.98,95908.31282,
 Romania ,8.76,7.45,8.1,20303.1628,
 Russia ,6.59,6.55,6.57,23961.22029,
 Rwanda ,5.69,7.32,6.5,1507.16501,
 Saudi Arabia ,3.91,7.13,5.52,44036.76735,
 Senegal ,6.66,6.04,6.35,2797.11016,
 Serbia ,7.6,6.55,7.07,14510.9633,
 Sierra Leone ,5.77,6.34,6.05,1413.563736,
 Singapore ,7.3,8.66,7.98,78294.03142,
 Slovakia ,8.83,7.42,8.12,25417.81236,
 Slovenia ,8.58,6.56,7.57,33355.84763,
 South Africa ,6.86,6.73,6.8,12452.33753,
 Spain ,9.18,7.28,8.23,37319.47622,
 Sri Lanka ,6.43,6.49,6.46,9126.865612,
 Suriname ,8.24,6.78,7.51,18840.36897,
 Swaziland ,4.79,6.69,5.74,7459.227976,
 Sweden ,9.54,7.51,8.52,47791.37152,
 Switzerland ,9.39,8.24,8.82,65819.73725,
 Tajikistan ,7.18,6.33,6.75,2390.022174,
 Tanzania ,6.42,6.78,6.6,2006.971326,
 Thailand ,7.77,6.7,7.23,14399.04451,
 Togo ,5.6,5.56,5.58,1625.545446,
 Trinidad and Tobago ,6.63,6.97,6.8,28879.28737,
 Tunisia ,5.27,6.65,5.96,10113.37035,
 Turkey ,7.01,6.88,6.94,20027.66683,
 Uganda ,5.43,7.33,6.38,1861.282458,
 Ukraine ,7.84,5.94,6.89,11778.3137,
 United Arab Emirates ,5.43,7.91,6.67,54921.77558,
 United Kingdom ,9.12,7.8,8.46,42089.01364,
 United States of America ,8.73,7.76,8.24,54315.91248,
 Uruguay ,8.8,7.31,8.05,19293.7408,
 Vietnam ,6.36,6.35,6.35,5089.411016,
 Yemen ,4.62,6.33,5.47,,
 Zambia ,5.74,7.21,6.48,3125.528849,
 Zimbabwe ,5.12,4.45,4.79,2458.220626,