DATE,LRUN64TTGBQ156S
01/01/1971,3.843099889
01/04/1971,4.095238095
01/07/1971,4.2269763
01/10/1971,4.455583403
01/01/1972,4.521518787
01/04/1972,4.45393774
01/07/1972,4.300011868
01/10/1972,4.166666667
01/01/1973,3.881932724
01/04/1973,3.742309652
01/07/1973,3.588817339
01/10/1973,3.437438617
01/01/1974,3.572410003
01/04/1974,3.623671517
01/07/1974,3.690238849
01/10/1974,3.762159628
01/01/1975,3.969990622
01/04/1975,4.339688852
01/07/1975,4.699657641
01/10/1975,5.071647703
01/01/1976,5.298913043
01/04/1976,5.426597314
01/07/1976,5.494548136
01/10/1976,5.499534595
01/01/1977,5.507965425
01/04/1977,5.571052224
01/07/1977,5.719257541
01/10/1977,5.73681769
01/01/1978,5.638211539
01/04/1978,5.592460992
01/07/1978,5.550198635
01/10/1978,5.405717364
01/01/1979,5.388071739
01/04/1979,5.325966003
01/07/1979,5.405715597
01/10/1979,5.546654459
01/01/1980,5.872949416
01/04/1980,6.39590055
01/07/1980,7.16043773
01/10/1980,8.140984474
01/01/1981,9.006937114
01/04/1981,9.696376102
01/07/1981,10.0776948
01/10/1981,10.38509505
01/01/1982,10.55919434
01/04/1982,10.71888982
01/07/1982,10.9565614
01/10/1982,11.22713415
01/01/1983,11.39747995
01/04/1983,11.56322627
01/07/1983,11.67869422
01/10/1983,11.77770288
01/01/1984,11.95139173
01/04/1984,11.95933457
01/07/1984,11.83652392
01/10/1984,11.71949695
01/01/1985,11.56599963
01/04/1985,11.44565058
01/07/1985,11.37720166
01/10/1985,11.36056163
01/01/1986,11.400818
01/04/1986,11.4210699
01/07/1986,11.44985465
01/10/1986,11.35968093
01/01/1987,11.19643569
01/04/1987,10.83549971
01/07/1987,10.30861089
01/10/1987,9.757147469
01/01/1988,9.270386266
01/04/1988,8.814709032
01/07/1988,8.407221451
01/10/1988,8.04630353
01/01/1989,7.603042632
01/04/1989,7.25416063
01/07/1989,7.127223948
01/10/1989,7.038185149
01/01/1990,6.987145624
01/04/1990,6.975026381
01/07/1990,7.13582331
01/10/1990,7.524647887
01/01/1991,8.062524258
01/04/1991,8.736250133
01/07/1991,9.232243638
01/10/1991,9.535016403
01/01/1992,9.78163754
01/04/1992,9.88401527
01/07/1992,10.03198489
01/10/1992,10.46929022
01/01/1993,10.7241865
01/04/1993,10.47706378
01/07/1993,10.35741648
01/10/1993,10.35412641
01/01/1994,10.04021667
01/04/1994,9.804878352
01/07/1994,9.449503228
01/10/1994,9.063557173
01/01/1995,8.968921139
01/04/1995,8.763151168
01/07/1995,8.739201553
01/10/1995,8.368554158
01/01/1996,8.303819955
01/04/1996,8.334890607
01/07/1996,8.118790181
01/10/1996,7.901828842
01/01/1997,7.370499506
01/04/1997,7.246922767
01/07/1997,6.909757719
01/10/1997,6.607715932
01/01/1998,6.418543281
01/04/1998,6.328541436
01/07/1998,6.290870211
01/10/1998,6.202054011
01/01/1999,6.23501511
01/04/1999,6.107370965
01/07/1999,5.933357218
01/10/1999,5.862269633
01/01/2000,5.853691498
01/04/2000,5.553795388
01/07/2000,5.375575121
01/10/2000,5.267255503
01/01/2001,5.125661808
01/04/2001,5.074868176
01/07/2001,5.147527922
01/10/2001,5.239209707
01/01/2002,5.215367343
01/04/2002,5.201034087
01/07/2002,5.354391697
01/10/2002,5.1759864
01/01/2003,5.219730828
01/04/2003,4.985980954
01/07/2003,5.102859587
01/10/2003,4.936944212
01/01/2004,4.843648653
01/04/2004,4.859483627
01/07/2004,4.73810896
01/10/2004,4.768922777
01/01/2005,4.737555277
01/04/2005,4.811560939
01/07/2005,4.775652837
01/10/2005,5.197604073
01/01/2006,5.293371856
01/04/2006,5.539074155
01/07/2006,5.550038349
01/10/2006,5.584629235
01/01/2007,5.583736593
01/04/2007,5.406897488
01/07/2007,5.38753986
01/10/2007,5.241493911
01/01/2008,5.258796799
01/04/2008,5.426497016
01/07/2008,5.931770972
01/10/2008,6.44867513
01/01/2009,7.175976358
01/04/2009,7.883244425
01/07/2009,7.967258805
01/10/2009,7.899736847
01/01/2010,8.136569684
01/04/2010,8.003634354
01/07/2010,7.91270302
01/10/2010,8.025235302
01/01/2011,7.950868372
01/04/2011,8.11375582
01/07/2011,8.481651526
01/10/2011,8.551785171
01/01/2012,8.362661094
01/04/2012,8.177197153
01/07/2012,8.040117992
01/10/2012,7.99173206
01/01/2013,8.041450883
01/04/2013,7.927684565
01/07/2013,7.809292724
01/10/2013,7.375798677
01/01/2014,6.911549226
01/04/2014,6.433649707
01/07/2014,6.128645383
01/10/2014,5.845726538
01/01/2015,5.678654398
01/04/2015,5.744086803
01/07/2015,5.452369925
01/10/2015,5.212773291
01/01/2016,5.19490271
01/04/2016,5.052204508
01/07/2016,4.974588243
01/10/2016,4.867041179
01/01/2017,4.692445915
01/04/2017,4.528240966
01/07/2017,4.357464464
01/10/2017,4.448248311
01/01/2018,4.286317603
01/04/2018,4.139875357
01/07/2018,4.18549803
01/10/2018,4.118571491
01/01/2019,3.914994137
01/04/2019,4.007414466
01/07/2019,3.93528157
01/10/2019,3.820030481
01/01/2020,4.084801497
01/04/2020,4.241754146
01/07/2020,4.961742597
01/10/2020,5.347172434
01/01/2021,4.988683303
01/04/2021,4.804777464